section,sku_idx,sku_id,source_url,add_button_id,name,description,weight_text,price_rub,image_url,image_path,image_width,image_height,img_brightness,img_contrast,img_saturation,img_warmth,img_sharpness,image_quality_score,food_styling_score,appetite_score_data
hot,2,hot-002,https://363363.ru/hot,buttonu17619,Шашлык из свинины с овощами,"лимон, жидкий дым, уксус 3%, перец черный, приправа д/шашлыка, соль",,1900.0,https://363363.ru/images/b81e03-c47df456b38b4a8b9c4879770f944e73-600x399-crop-u17617.jpg?crc=451295926,artifacts/sku-audit/images/hot/hot-002.jpg,251,168,121.45,65.71,148.37,1.961,77.33,7.53,7.0,7.29
hot,3,hot-003,https://363363.ru/hot,buttonu17584,Шашлык из семги,"Рыба семга, перец черный молотый, масло растительное",,2700.0,https://363363.ru/images/1434147740_shashlyk-iz-semgi-5.jpg?crc=503596528,artifacts/sku-audit/images/hot/hot-003.jpg,268,179,155.02,65.41,119.54,1.568,69.76,7.16,6.02,6.65
hot,4,hot-004,https://363363.ru/hot,buttonu18639,Свинина запеченная с помидорами,"Мясо свинины, помидоры, масло растительное, майонез, сыр, соль.",,1500.0,https://363363.ru/images/svinina-v-multivarke-3.jpg?crc=259499326,artifacts/sku-audit/images/hot/hot-004.jpg,258,172,161.76,62.21,119.44,1.711,63.57,6.58,6.27,6.44
hot,5,hot-005,https://363363.ru/hot,buttonu18546,Свинина запеченная с опятами,"Мясо свинина, ,грибы консервированные, лук репчатый, масло растительное, майонез, сыр, соль",,1500.0,https://363363.ru/images/41a6fd888a2d9c47345937a583ac7d20_20712.jpg?crc=60654276,artifacts/sku-audit/images/hot/hot-005.jpg,267,178,194.4,59.78,86.9,1.34,54.16,5.97,5.22,5.63
hot,6,hot-006,https://363363.ru/hot,buttonu18590,Свинина запеченная с болгарским перцем,"Мясо свинина, перец сладкий, лук репчатый, масло растительное, майонез, сыр, соль, укроп.",,1500.0,https://363363.ru/images/svinina-v-multivarke-3.jpg?crc=259499326,artifacts/sku-audit/images/hot/hot-006.jpg,258,172,161.76,62.21,119.44,1.711,63.57,6.58,6.27,6.44
hot,7,hot-007,https://363363.ru/hot,buttonu18697,Отбивная из курицы с шампиньонами,"Мясо птицы, шампиньоны, сыр, лук, майонез, приправа.",,1400.0,https://363363.ru/images/kurinaja-otbivnaja.jpg?crc=175871323,artifacts/sku-audit/images/hot/hot-007.jpg,251,201,172.81,52.55,90.07,1.437,54.45,5.5,5.25,5.39
hot,8,hot-008,https://363363.ru/hot,buttonu17594,Отбивная нежность из курицы,"Мясо птицы, майонез, соль, перец черный молотый, яйцо, мука пшеничная, масло растительное",,1400.0,https://363363.ru/images/kurinie_otbivnie_pod_shuboi-168662.jpg?crc=3935866727,artifacts/sku-audit/images/hot/hot-008.jpg,256,173,140.8,65.08,138.07,1.718,55.33,5.86,6.57,6.18
hot,9,hot-009,https://363363.ru/hot,buttonu18972,Картофель по-деревенски,"Картофель, чеснок, специи, соль",,600.0,https://363363.ru/images/1451248525_kartofelnye-dolki-po-derevenski.jpg?crc=391273178,artifacts/sku-audit/images/hot/hot-009.jpg,251,168,152.17,62.41,149.77,2.377,61.06,6.3,7.83,6.99
hot,10,hot-010,https://363363.ru/hot,buttonu18915,Картофель запеченный под сыром с грибами,"Картофель, сыр, соль, грибы опята, приправа, масло растительное, сухари панировочные, майонез.",,850.0,https://363363.ru/images/kartofel_s_gribami_i_sirom-crop-u18921.jpg?crc=4219340121,artifacts/sku-audit/images/hot/hot-010.jpg,251,168,124.91,47.11,139.12,1.961,52.38,4.71,6.8,5.65
hot,11,hot-011,https://363363.ru/hot,buttonu18869,Рис с овощами по-испански,"Рис, фасоль стручковая, кукуруза, лук, паприка, морковь, соль, петрушка, укроп",,420.0,https://363363.ru/images/ris-s-ovoschami-v-multivarke.jpg?crc=315438175,artifacts/sku-audit/images/hot/hot-011.jpg,300,202,107.79,79.46,148.12,1.917,50.69,5.83,6.82,6.28
